"Site","epaid","Pop","sample_id","repName","n1_sars_cov2_units","N1","N1LOD","n2_sars_cov2_units","N2","N2LOD","PMMoV","hf183_conc","Date","sample_collect_time","test_result_date","FlowRate","tss","ph","bod","conductivity","temperature","do","created_on","last_modified_on","lab_submitter","n1_lod","n1_loq","n2_lod","n2_loq"
"MMSD-P2","WI0024597",380000,"596558001","qPCR","Gene copies/L",527116,FALSE,"Gene copies/L",786149,FALSE,39303239,NA,2021-12-02,"0:00","12/10/2021 15:46",5.96,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Monroe WWTF","WI0020362",10800,"596746001","qPCR","Gene copies/L",592006,FALSE,"Gene copies/L",455475,FALSE,6779311,NA,2021-12-02,"7:00","12/8/2021 16:16",1.774,NA,"7.88",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","110000","340000","170000","360000"
"Fox River WPCC","WI0023469",51000,"2197","droplet digital PCR","copies/L wastewater",206822.4,FALSE,"copies/L wastewater",175692.8,FALSE,149318656,NA,2021-12-06,"7:30","12/9/2021",6.96,"232","7.7","260","2550","8",NA,"12/10/2021 9:21","1/17/2022 11:01","UWM","6195.2","20608","6195.2","20608"
"De Pere WWTF","WI0065251",43000,"2198","droplet digital PCR","copies/L wastewater",230400,FALSE,"copies/L wastewater",242918.4,FALSE,94424064,NA,2021-12-06,"6:00","12/9/2021",6.16,"260","7.2","460","1335",NA,NA,"12/10/2021 9:21","1/11/2022 10:39","UWM","6195.2","20684.8","6195.2","20684.8"
"Green Bay MSD","WI0065251",189000,"2199","droplet digital PCR","copies/L wastewater",81868.8,FALSE,"copies/L wastewater",67865.6,FALSE,53914624,NA,2021-12-06,"6:00","12/9/2021",20.1,"323","7.6","270","1733",NA,NA,"12/10/2021 9:21","1/11/2022 10:39","UWM","5990.4","19942.4","5990.4","19942.4"
"Milwaukee MSD Jones Island","WI0036820",470007,"2193","droplet digital PCR","copies/L wastewater",54886.4,FALSE,"copies/L wastewater",67968,FALSE,1253820416,NA,2021-12-05,"0:00","12/9/2021",105,"330",NA,"270","1119",NA,NA,"12/10/2021 9:21","1/11/2022 10:39","UWM","7833.6","26137.6","7833.6","26137.6"
"Milwaukee MSD South Shore","WI0036820",615934,"2194","droplet digital PCR","copies/L wastewater",168550.4,FALSE,"copies/L wastewater",134809.6,FALSE,215037952,NA,2021-12-05,"0:00","12/9/2021",43,"320",NA,"410","1859",NA,NA,"12/10/2021 9:21","1/11/2022 10:39","UWM","14438.4","48128","14438.4","48128"
"Oregon","WI0020681",10000,"2176","droplet digital PCR","copies/L wastewater",84326.4,FALSE,"copies/L wastewater",122137.6,FALSE,96841728,NA,2021-12-01,"7:00","12/6/2021",1.165,NA,NA,NA,"1370",NA,NA,"12/10/2021 9:21","1/11/2022 10:39","UWM","6656","22169.6","6656","22169.6"
"Racine Wastewater Utility","WI0025194",139000,"2195","droplet digital PCR","copies/L wastewater",333414.4,FALSE,"copies/L wastewater",378291.2,FALSE,85703680,NA,2021-12-05,"0:00","12/9/2021",11.32,"186","6.97","201","1125","15.55555556",NA,"12/10/2021 9:21","2/18/2022 10:37","UWM","6348.8","21120","6348.8","21120"
"Waukesha WWTP","WI0029971",72549,"2196","droplet digital PCR","copies/L wastewater",193024,FALSE,"copies/L wastewater",180249.6,FALSE,568136704,NA,2021-12-06,"8:00","12/9/2021",6.037,NA,NA,NA,"2220","4",NA,"12/10/2021 9:21","1/11/2022 10:39","UWM","6348.8","21145.6","6348.8","21145.6"
"Fox River WPCC","WI0023469",51000,"2207","droplet digital PCR","copies/L wastewater",69683.2,FALSE,"copies/L wastewater",64179.2,FALSE,187004928,NA,2021-12-08,"7:03","12/13/2021",6.69,"252","7.7","189","2740","6.5",NA,"12/13/2021 16:23","1/17/2022 11:01","UWM","5504","18329.6","5504","18329.6"
"De Pere WWTF","WI0065251",43000,"2208","droplet digital PCR","copies/L wastewater",126412.8,FALSE,"copies/L wastewater",144844.8,FALSE,139101184,NA,2021-12-08,"6:00","12/13/2021",6.29,"292","7.3","410","1538",NA,NA,"12/13/2021 16:23","1/11/2022 10:39","UWM","6886.4","22937.6","6886.4","22937.6"
"Green Bay MSD","WI0065251",189000,"2209","droplet digital PCR","copies/L wastewater",144512,FALSE,"copies/L wastewater",132864,FALSE,197732352,NA,2021-12-08,"6:00","12/23/2021",22.2,"270","7.4","250","2180",NA,NA,"12/13/2021 16:23","4/12/2022 18:30","UWM","4966.4","16588.8","4966.4","16588.8"
"Milwaukee MSD Jones Island","WI0036820",470007,"2202","droplet digital PCR","copies/L wastewater",132224,FALSE,"copies/L wastewater",152806.4,FALSE,181080064,NA,2021-12-08,"0:00","12/13/2021",71,"220",NA,"320","1365",NA,NA,"12/13/2021 16:23","1/11/2022 10:39","UWM","6835.2","22758.4","6835.2","22758.4"
"Milwaukee MSD South Shore","WI0036820",615934,"2203","droplet digital PCR","copies/L wastewater",153600,FALSE,"copies/L wastewater",140390.4,FALSE,139028480,NA,2021-12-08,"0:00","12/13/2021",41,"140",NA,"350","1865",NA,NA,"12/13/2021 16:23","4/12/2022 18:30","UWM","13158.4","43827.2","13158.4","43827.2"
"Oregon","WI0020681",10000,"2210","droplet digital PCR","copies/L wastewater",180659.2,FALSE,"copies/L wastewater",175206.4,FALSE,206953472,NA,2021-12-08,"7:00","12/13/2021",1.137,NA,NA,NA,"2060",NA,NA,"12/13/2021 16:23","1/11/2022 10:39","UWM","5401.6","18022.4","5401.6","18022.4"
"Racine Wastewater Utility","WI0025194",139000,"2205","droplet digital PCR","copies/L wastewater",237132.8,FALSE,"copies/L wastewater",206361.6,FALSE,142952448,NA,2021-12-08,"0:00","12/13/2021",11.4,"151","7.05","179","1153","15.55555556",NA,"12/13/2021 16:23","2/18/2022 10:37","UWM","6118.4","20377.6","6118.4","20377.6"
"Waukesha WWTP","WI0029971",72549,"2206","droplet digital PCR","copies/L wastewater",44083.2,FALSE,"copies/L wastewater",69836.8,FALSE,191168512,NA,2021-12-08,"8:00","12/23/2021",5.743,NA,NA,NA,"2370","4",NA,"12/13/2021 16:23","1/11/2022 10:39","UWM","5504","18355.2","5504","18355.2"
"Fox River WPCC","WI0023469",51000,"2218","droplet digital PCR","copies/L wastewater",98227.2,FALSE,"copies/L wastewater",183910.4,FALSE,85999616,NA,2021-12-12,"7:19","12/16/2021",8.07,"188","7.5","179","2460","7.2",NA,"12/17/2021 10:45","1/17/2022 11:01","UWM","6400","21324.8","6400","21324.8"
"De Pere WWTF","WI0065251",43000,"2219","droplet digital PCR","copies/L wastewater",175897.6,FALSE,"copies/L wastewater",146124.8,FALSE,92771328,NA,2021-12-12,"6:00","12/16/2021",7.1,"184","7.3","270","1356",NA,NA,"12/17/2021 10:45","4/12/2022 18:30","UWM","6835.2","22784","6835.2","22784"
"Rib Lake WWTF","WI0029017",386,"596756001","qPCR","Gene copies/L",2617703,FALSE,"Gene copies/L",2244878,FALSE,8935716,NA,2021-12-02,"9:00","12/10/2021 15:46",0.072,NA,"7.9",NA,NA,"11","7.16","12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Janesville WW Utility","WI0030350",63500,"597069001","qPCR","Gene copies/L",830690,FALSE,"Gene copies/L",947650,FALSE,10342121,NA,2021-12-04,"7:00","12/7/2021 15:46",8.56,NA,"7.62",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Wausau Water Works WWTF","WI0025739",NA,"597070001","qPCR","Gene copies/L",955559,FALSE,"Gene copies/L",1119687,FALSE,13977124,NA,2021-12-04,"8:00","12/10/2021 15:46",3.71,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Sheboygan WWTP","WI0025411",75000,"597072001","qPCR","Gene copies/L",1081197,FALSE,"Gene copies/L",1028101,FALSE,17176854,NA,2021-12-04,"6:00","12/10/2021 15:46",7.613,NA,"7.4",NA,NA,"16.11",NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Spencer WWTP","WI0021521",2000,"597074001","qPCR","Gene copies/L",1254788,FALSE,"Gene copies/L",1162723,FALSE,4242852,NA,2021-12-06,"7:55","12/10/2021 15:46",0.2774,NA,"7.92",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Hudson WWTF","WI0024279",19680,"597075001","qPCR","Gene copies/L",1826448,FALSE,"Gene copies/L",2339535,FALSE,30285680,NA,2021-12-03,"7:00","12/7/2021 15:15",1.496,NA,"7.5",NA,NA,"9","2.54","12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Appleton WWTF","WI0023221",74832,"597077001","qPCR","Gene copies/L",287035,FALSE,"Gene copies/L",380816,FALSE,32487957,NA,2021-12-04,"0:00","12/7/2021 15:15",7.6,NA,"7.3",NA,NA,"16.6",NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Peshtigo WWTF","WI0030651",4000,"597080001","qPCR","Gene copies/L",773268,FALSE,"Gene copies/L",875907,FALSE,2769070,NA,2021-12-06,"8:00","12/10/2021 15:46",0.403,NA,"7.3",NA,NA,"12.6","3.9","12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Madison","WI0024597",380000,"597111001","qPCR","Gene copies/L",892689,FALSE,"Gene copies/L",1043761,FALSE,18645857,NA,2021-12-05,"0:00","12/10/2021 15:46",34.16,NA,"7.63",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Madison","WI0024597",380000,"597114001","qPCR","Gene copies/L",559639,FALSE,"Gene copies/L",677880,FALSE,14265318,NA,2021-12-06,"0:00","12/10/2021 15:46",34.59,NA,"7.64",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Madison","WI0024597",380000,"597117001","qPCR","Gene copies/L",546354,FALSE,"Gene copies/L",681188,FALSE,17736992,NA,2021-12-07,"0:00","12/10/2021 15:46",35.66,NA,"7.33",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Madison","WI0024597",380000,"597119001","qPCR","Gene copies/L",797079,FALSE,"Gene copies/L",705407,FALSE,21139404,NA,2021-12-03,"0:00","12/7/2021 15:46",34.96,NA,"7.76",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"MMSD-P2","WI0024597",380000,"597124001","qPCR","Gene copies/L",365393,FALSE,"Gene copies/L",464858,FALSE,15803052,NA,2021-12-06,"0:00","12/10/2021 15:46",5.96,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"MMSD-P7","WI0024597",380000,"597126001","qPCR","Gene copies/L",686238,FALSE,"Gene copies/L",932437,FALSE,25387200,NA,2021-12-06,"0:00","12/10/2021 15:46",4.24,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"MMSD-P8","WI0024597",380000,"597129001","qPCR","Gene copies/L",308875,FALSE,"Gene copies/L",419734,FALSE,13366204,NA,2021-12-06,"0:00","12/10/2021 15:46",6.06,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"MMSD-P11","WI0024597",380000,"597131001","qPCR","Gene copies/L",828952,FALSE,"Gene copies/L",708231,FALSE,20723308,NA,2021-12-06,"0:00","12/10/2021 15:46",7.8,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Sun Prairie WWTF","WI0020478",34926,"597154001","qPCR","Gene copies/L",669651,FALSE,"Gene copies/L",637712,FALSE,21447415,NA,2021-12-07,"6:30","12/10/2021 15:46",2.78,NA,"7.51",NA,NA,"16",NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"La Crosse WWTP","WI0029581",85000,"597422001","qPCR","Gene copies/L",355313,FALSE,"Gene copies/L",490278,FALSE,5544558,NA,2021-12-07,"7:21","12/8/2021 16:16",6.37,NA,"7.47",NA,NA,NA,NA,"12/13/2021 23:00","12/22/2021 23:06","SLH","64000","200000","100000","220000"
"Viroqua WWTF","WI0021920",4335,"597424001","qPCR","Gene copies/L",2239453,FALSE,"Gene copies/L",1808947,FALSE,19207891,NA,2021-12-07,"8:53","12/10/2021 15:46",0.237,NA,"7.97",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Janesville WW Utility","WI0030350",63500,"597427001","qPCR","Gene copies/L",1135171,FALSE,"Gene copies/L",1154924,FALSE,7405580,NA,2021-12-07,"7:15","12/8/2021 16:16",8.6,NA,"7.64",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Marshfield WWTF","WI0021024",19316,"597429001","qPCR","Gene copies/L",78968,FALSE,"Gene copies/L",39198,TRUE,8633670,NA,2021-12-07,"8:00","12/8/2021 16:16",1.983,NA,"7.1",NA,NA,"15.2","5.8","12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Wolf Treatment Plant","WI0028452",18000,"597433001","qPCR","Gene copies/L",600690,FALSE,"Gene copies/L",776377,FALSE,7547891,NA,2021-12-07,"7:00","12/10/2021 15:46",1.834,NA,"7.59",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Baraboo WWTF","WI0020605",14000,"597435001","qPCR","Gene copies/L",1434826,FALSE,"Gene copies/L",1944720,FALSE,14841721,NA,2021-12-07,"7:24","12/8/2021 16:16",1.37,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Merrill WWTP","WI0020150",10000,"597436001","qPCR","Gene copies/L",1513103,FALSE,"Gene copies/L",1161722,FALSE,8080164,NA,2021-12-07,"7:00","12/10/2021 15:46",1.02,NA,"7.63",NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","40000","130000","66000","140000"
"Marinette Wastewater Utility","WI0026182",10608,"597437001","qPCR","Gene copies/L",1272273,FALSE,"Gene copies/L",1587865,FALSE,19923133,NA,2021-12-07,"7:00","12/8/2021 16:16",1.6,NA,NA,NA,NA,NA,NA,"12/13/2021 23:00","12/13/2021 23:00","SLH","64000","200000","100000","220000"
"Portage WWTF","WI0020427",10693,"597438001","qPCR","Gene copies/L",680296,FALSE,"Gene copies/L",708638,FALSE,10235622,NA,2021-12-07,"7:15","12/10/2021 15:46",1.428,NA,"7.9",NA,NA,"13.9","5.98","12/13/2021 23:00","12/13/2021 23:00","SLH","53000","170000","87000","180000"
"Fox River WPCC","WI0023469",51000,"2428","droplet digital PCR","copies/L wastewater",35046.4,FALSE,"copies/L wastewater",51737.6,FALSE,88098816,NA,2022-02-02,"7:18","2/7/2022",5.92,"158","7.7","159","3870","10.3",NA,"2/8/2022 9:31","2/11/2022 10:12","UWM","4992","16691.2","4992","16691.2"
"De Pere WWTF","WI0065251",43000,"2429","droplet digital PCR","copies/L wastewater",15257.6,FALSE,"copies/L wastewater",27136,FALSE,93213696,NA,2022-02-02,"6:00","2/7/2022",6.77,"333","7.5","300","1545",NA,NA,"2/8/2022 9:31","4/12/2022 18:30","UWM","5094.4","16947.2","5094.4","16947.2"
"Green Bay MSD","WI0065251",189000,"2430","droplet digital PCR","copies/L wastewater",42649.6,FALSE,"copies/L wastewater",70528,FALSE,197403648,NA,2022-02-02,"6:00","2/7/2022",24.59,"420","7.3","270","2260",NA,NA,"2/8/2022 9:31","4/12/2022 18:30","UWM","5555.2","18534.4","5555.2","18534.4"
"MMSD-P2","WI0024597",380000,"603745001","dPCR","Gene copies/L",331360,FALSE,"Gene copies/L",282880,FALSE,368080000,NA,2022-01-31,"0:00","2/1/2022 13:27",6,NA,NA,NA,NA,NA,NA,"2/8/2022 11:11","2/15/2022 15:12","SLH","25000","61000","25000","52000"
"MMSD-P7","WI0024597",380000,"603746001","dPCR","Gene copies/L",250400,FALSE,"Gene copies/L",242080,FALSE,307080000,NA,2022-01-31,"0:00","2/1/2022 13:27",4.32,NA,NA,NA,NA,NA,NA,"2/8/2022 11:11","2/15/2022 15:12","SLH","25000","61000","25000","52000"
"Oconomowoc WWTP","WI0021181",34135,"604493001","dPCR","Gene copies/L",237920,FALSE,"Gene copies/L",317280,FALSE,250960000,NA,2022-02-03,"7:40","2/7/2022 16:28",2.59,NA,"7.9",NA,NA,"10.6","5.28","2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Fox River WPCC","WI0023469",51000,"2448","droplet digital PCR","copies/L wastewater",4019.2,TRUE,"copies/L wastewater",10060.8,FALSE,77170688,NA,2022-02-09,"7:21","2/14/2022",5.79,"232","7.7","219","2850","7.6",NA,"2/15/2022 9:56","2/18/2022 10:37","UWM","6041.6","20147.2","6041.6","20147.2"
"De Pere WWTF","WI0065251",43000,"2449","droplet digital PCR","copies/L wastewater",31795.2,FALSE,"copies/L wastewater",39270.4,FALSE,15940608,NA,2022-02-09,"6:00","2/14/2022",6.68,"327","7.4","370","1577",NA,NA,"2/15/2022 9:56","4/12/2022 18:30","UWM","5606.4","18688","5606.4","18688"
"Wausau Water Works WWTF","WI0025739",42000,"605713001","dPCR","Gene copies/L",159680,FALSE,"Gene copies/L",175680,FALSE,149120000,NA,2022-02-12,"8:00","2/15/2022 0:00",3.37,NA,NA,NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","50000","120000","50000","100000"
"Peshtigo WWTF","WI0030651",4000,"605715001","dPCR","Gene copies/L",8800,TRUE,"Gene copies/L",26240,FALSE,52680000,NA,2022-02-14,"8:00","2/15/2022 0:00",0.116,NA,"10.6",NA,NA,"7.6","6.6","2/17/2022 22:14","2/17/2022 22:14","SLH","25000","61000","25000","52000"
"Sheboygan WWTP","WI0025411",75000,"605726001","dPCR","Gene copies/L",134240,FALSE,"Gene copies/L",192960,FALSE,336960000,NA,2022-02-12,"6:00","2/15/2022 0:00",7.641,NA,"7.8",NA,NA,"17.22",NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","25000","61000","25000","52000"
"Janesville WW Utility","WI0030350",63500,"605727001","dPCR","Gene copies/L",97920,FALSE,"Gene copies/L",89760,FALSE,121880000,NA,2022-02-12,"7:15","2/15/2022 0:00",8.92,NA,"7.78",NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","25000","61000","25000","52000"
"Sun Prairie WWTF","WI0020478",34926,"605728001","dPCR","Gene copies/L",106080,FALSE,"Gene copies/L",90880,FALSE,3.7e+08,NA,2022-02-15,"6:25","2/16/2022 17:47",2.496,NA,"7.62",NA,NA,"12.42",NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","25000","61000","25000","52000"
"Oshkosh WWTP","WI0025038",67000,"604494001","dPCR","Gene copies/L",158720,FALSE,"Gene copies/L",133600,FALSE,82960000,NA,2022-02-03,"7:00","2/7/2022 16:28",6.933,NA,"8.03",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Green Bay MSD","WI0065251",189000,"2450","droplet digital PCR","copies/L wastewater",15104,FALSE,"copies/L wastewater",12928,FALSE,67936256,NA,2022-02-09,"6:00","2/14/2022",25,"1840","7.4","256","2440",NA,NA,"2/15/2022 9:56","4/12/2022 18:30","UWM","6476.8","21555.2","6476.8","21555.2"
"Milwaukee MSD Jones Island","WI0036820",470007,"2443","droplet digital PCR","copies/L wastewater",7040,FALSE,"copies/L wastewater",15820.8,FALSE,9209856,NA,2022-02-09,"0:00","2/14/2022",54,"340",NA,"380","1408",NA,NA,"2/15/2022 9:56","2/21/2022 17:58","UWM","5273.6","17561.6","5273.6","17561.6"
"Madison","WI0024597",391815,"605758001","dPCR","Gene copies/L",394560,FALSE,"Gene copies/L",480320,FALSE,309680000,NA,2022-02-15,"0:00","2/15/2022 0:00",35.16,NA,"7.82",NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","50000","120000","50000","100000"
"Madison","WI0024597",391815,"605763001","dPCR","Gene copies/L",232640,FALSE,"Gene copies/L",132800,FALSE,261440000,NA,2022-02-13,"0:00","2/15/2022 0:00",33.94,NA,"7.69",NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","50000","120000","50000","100000"
"Marinette Wastewater Utility","WI0026182",10608,"605989001","dPCR","Gene copies/L",66720,FALSE,"Gene copies/L",58400,FALSE,113240000,NA,2022-02-15,"7:00","2/16/2022 0:00",1.39,NA,NA,NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","25000","61000","25000","52000"
"Hayward WPCF","WI0021121",2375,"605994001","dPCR","Gene copies/L",116800,FALSE,"Gene copies/L",116800,FALSE,240480000,NA,2022-02-15,"8:00","2/16/2022 0:00",0.231725,NA,NA,NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","50000","120000","50000","100000"
"Janesville WW Utility","WI0030350",63500,"606006001","dPCR","Gene copies/L",41920,FALSE,"Gene copies/L",33600,FALSE,165400000,NA,2022-02-15,"7:00","2/16/2022 0:00",8.96,NA,"7.57",NA,NA,NA,NA,"2/17/2022 22:14","2/17/2022 22:14","SLH","25000","61000","25000","52000"
"La Crosse WWTP","WI0029581",85000,"604495001","dPCR","Gene copies/L",202400,FALSE,"Gene copies/L",161600,FALSE,122640000,NA,2022-02-03,"7:00","2/7/2022 16:28",7.41,NA,"7.53",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","120000","310000","120000","260000"
"Marshfield WWTF","WI0021024",19316,"604496001","dPCR","Gene copies/L",538400,FALSE,"Gene copies/L",372800,FALSE,111600000,NA,2022-02-03,"7:55","2/7/2022 16:28",1.835,NA,"7",NA,NA,"11.4","7.2","2/9/2022 22:11","2/9/2022 22:11","SLH","120000","310000","120000","260000"
"Baraboo WWTF","WI0020605",14000,"604497001","dPCR","Gene copies/L",355520,FALSE,"Gene copies/L",347840,FALSE,203320000,NA,2022-02-03,"7:23","2/4/2022 10:00",1.33,NA,NA,NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Monroe WWTF","WI0020362",10800,"604499001","dPCR","Gene copies/L",124320,FALSE,"Gene copies/L",132160,FALSE,139840000,NA,2022-02-03,"7:00","2/7/2022 16:28",1.88,NA,"8.1",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Marinette Wastewater Utility","WI0026182",10608,"604500001","dPCR","Gene copies/L",179840,FALSE,"Gene copies/L",286080,FALSE,86640000,NA,2022-02-03,"7:00","2/7/2022 16:28",1.44,NA,NA,NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Rib Lake WWTF","WI0029017",386,"604501001","dPCR","Gene copies/L",260480,FALSE,"Gene copies/L",243520,FALSE,130640000,NA,2022-02-03,"10:00","2/7/2022 16:28",0.051,NA,"7.88",NA,NA,"7.5","5.55","2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"MMSD-P11","WI0024597",106791,"604673001","dPCR","Gene copies/L",169600,FALSE,"Gene copies/L",101760,FALSE,281480000,NA,2022-02-07,"0:00","2/8/2022 0:00",8.18,NA,NA,NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"MMSD-P8","WI0024597",70024,"604674001","dPCR","Gene copies/L",1840000,FALSE,"Gene copies/L",1269280,FALSE,190480000,NA,2022-02-07,"0:00","2/8/2022 0:00",6.06,NA,NA,NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Madison","WI0024597",391815,"604795001","dPCR","Gene copies/L",10892800,FALSE,"Gene copies/L",6848000,FALSE,177680000,NA,2022-02-04,"0:00","2/8/2022 0:00",34.62,NA,"7.78",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","50000","120000","50000","100000"
"Madison","WI0024597",391815,"604797001","dPCR","Gene copies/L",1260480,FALSE,"Gene copies/L",888320,FALSE,293040000,NA,2022-02-06,"0:00","2/8/2022 0:00",34.26,NA,"7.7",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","50000","120000","50000","100000"
"Madison","WI0024597",391815,"604800001","dPCR","Gene copies/L",1082880,FALSE,"Gene copies/L",803520,FALSE,329200000,NA,2022-02-08,"0:00","2/8/2022 0:00",35.34,NA,"7.87",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","50000","120000","50000","100000"
"Janesville WW Utility","WI0030350",63500,"604827001","dPCR","Gene copies/L",112960,FALSE,"Gene copies/L",80640,FALSE,77920000,NA,2022-02-05,"7:10","2/8/2022 0:00",8.58,NA,"7.61",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Sheboygan WWTP","WI0025411",75000,"604828001","dPCR","Gene copies/L",138880,FALSE,"Gene copies/L",130080,FALSE,179560000,NA,2022-02-05,"6:00","2/8/2022 0:00",7.607,NA,"7.3",NA,NA,"16.66",NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Appleton WWTF","WI0023221",74832,"604829001","dPCR","Gene copies/L",37600,TRUE,"Gene copies/L",37600,TRUE,75760000,NA,2022-02-04,"0:00","2/8/2022 0:00",8,NA,"7.8",NA,NA,"12.9",NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","120000","310000","120000","260000"
"Peshtigo WWTF","WI0030651",4000,"604831001","dPCR","Gene copies/L",180320,FALSE,"Gene copies/L",94400,FALSE,91080000,NA,2022-02-07,"8:00","2/8/2022 0:00",0.278,NA,"7.5",NA,NA,"7.7","5.3","2/9/2022 22:11","2/9/2022 22:11","SLH","25000","61000","25000","52000"
"Wausau Water Works WWTF","WI0025739",42000,"604833001","dPCR","Gene copies/L",115200,TRUE,"Gene copies/L",153600,FALSE,136720000,NA,2022-02-05,"8:00","2/8/2022 0:00",4.21,NA,NA,NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","120000","310000","120000","260000"
"Spencer WWTP","WI0021521",2000,"604834001","dPCR","Gene copies/L",416800,FALSE,"Gene copies/L",375200,FALSE,39160000,NA,2022-02-07,"7:51","2/8/2022 0:00",0.2592,NA,"7.83",NA,NA,NA,NA,"2/9/2022 22:11","2/9/2022 22:11","SLH","120000","310000","120000","260000"
"Oconomowoc WWTP","WI0021181",34135,"603956001","dPCR","Gene copies/L",161600,FALSE,"Gene copies/L",121600,TRUE,268120000,NA,2022-02-01,"7:45","2/9/2022 12:55",2.616,NA,"7.8",NA,NA,"11.8","4.93","2/11/2022 11:11","2/11/2022 11:11","SLH","120000","310000","120000","260000"
"Superior WWTP","WI0025593",26751,"604065001","dPCR","Gene copies/L",892800,FALSE,"Gene copies/L",568000,FALSE,191480000,NA,2022-01-31,"0:00","2/9/2022 12:55",1.963,NA,NA,NA,NA,NA,NA,"2/11/2022 11:11","2/11/2022 11:11","SLH","250000","610000","250000","520000"
