"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","capacity_mgd","conductivity","do","equiv_sewage_amt","n1_lod","n1_loq","N1","N1Error","n1_sars_cov2_lod","n2_lod","n2_loq","N2","N2Error","n2_sars_cov2_lod","ph","PMMoV","Pop","temperature","tss","wwtp_comments","zipcode","analytical_comments","AVG","wt"
"Peshtigo",2021-08-30,580775001,0.89,23492,8.453,4.2,NA,4.3,1,40000,130000,29562,9105,NA,66000,140000,17421,4097,"Yes",7.5,2113495,4000,18.1,NA,NA,"54157",NA,22693.6,2
"SpencerWWTF",2021-08-30,580782001,0.4176,41083,9.325,0.52,NA,NA,1,40000,130000,33626,1100,NA,66000,140000,48540,9753,"Yes",7.7,3410372,2000,NA,NA,NA,"54479",NA,40400.57,2
"Madison",2021-08-30,580879001,36.13,216221,14.234,56,NA,NA,0.625,64000,2e+05,262127,7580,NA,1e+05,220000,170315,15354,"No",7.59,30002311,380000,NA,NA,NA,"53713",NA,211291.6,2
"MMSD-P2",2021-08-30,580880001,6.25,205147,9.019,56,NA,NA,0.625,64000,2e+05,194907,56142,NA,1e+05,220000,215387,32580,"No",7,30252807,380000,NA,NA,NA,"53713",NA,204891.3,2
"MMSD-P7",2021-08-30,580881001,4.68,193069,20.819,56,NA,NA,0.625,64000,2e+05,170215,15391,NA,1e+05,220000,215924,12428,"No",7,13020039,380000,NA,NA,NA,"53713",NA,191712,2
"MMSD-P8",2021-08-30,580882001,6.09,81898,6.176,56,NA,NA,0.625,64000,2e+05,68780,16147,NA,1e+05,220000,95017,22548,"Yes",7,24497062,380000,NA,NA,NA,"53713",NA,80841.01,2
"MMSD-P11",2021-08-30,580883001,8.68,265280,5.319,56,NA,NA,0.625,64000,2e+05,311116,68099,NA,1e+05,220000,219444,7846,"No",7,26414277,380000,NA,NA,NA,"53713",NA,261290.1,2
"MMSD-P18",2021-08-30,580884001,10.43,126008,4.539,56,NA,NA,0.625,64000,2e+05,130515,18297,NA,1e+05,220000,121501,14328,"No",7,24431398,380000,NA,NA,NA,"53713",NA,125927.4,2
"Ashland",2021-08-30,581005001,0.853,248969,5.7,1.92,698,NA,1,40000,130000,236981,44281,NA,66000,140000,260957,11488,"No",7.19,3488624,8000,18,NA,NA,"54806",NA,248680.2,2
"Stevens Point",2021-08-30,581059001,4.09,130205,2.365,4.55,1043,NA,1,40000,130000,142368,20233,NA,66000,140000,118041,18350,"No",7.09,2484584,27000,NA,NA,NA,"54481",NA,129635.1,2
"Platteville",2021-08-30,581239001,0.872,45999,1.335,3,NA,5.26,1,40000,130000,51558,9396,NA,66000,140000,40440,2688,"Yes",7.6,15942710,14000,18.24,NA,NA,"53818",NA,45661.86,2
"Sun Prairie",2021-08-31,580800001,3.012,268451,4.953,6.2,NA,NA,0.625,64000,2e+05,272704,16936,NA,1e+05,220000,264198,52056,"No",7.69,21244942,34926,19.7,NA,NA,"53590",NA,268417.3,2
"Madison",2021-08-31,580878001,36.75,140395,5.453,56,NA,NA,0.625,64000,2e+05,147790,7066,NA,1e+05,220000,132999,30700,"No",7.77,30611589,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,140199.6,2
"Rib Lake",2021-08-31,580993001,0.084,NA,3.343,0.5,NA,6.88,1,40000,130000,NA,-1,NA,66000,140000,NA,-1,"Yes",7.46,66827,386,19.4,NA,NA,"54470",NA,NA,0
"Columbus",2021-08-31,580995001,0.78,1189252,3.55,1.165,NA,3,1,40000,130000,1273477,176499,NA,66000,140000,1105028,20831,"No",7.7,9154295,7000,20.5,NA,NA,"53925",NA,1186266,2
"Marshfield",2021-08-31,580996001,3.3,82027,0.257,4.63,NA,4.7,1,40000,130000,141430,11786,NA,66000,140000,22624,5768,"Yes",6.8,7122080,19316,19.8,NA,NA,"54449",NA,56566,2
"BlackRiverFallsWWTP",2021-08-31,580998001,0.687,80466,8,1.5,NA,NA,1,40000,130000,70576,5582,NA,66000,140000,90357,7150,"No",7.05,6841334,5200,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54615",NA,79856.34,2
"Viroqua",2021-08-31,580999001,0.328,53407,0.091,0.535,NA,NA,1,40000,130000,62153,9758,NA,66000,140000,44661,9564,"Yes",7.86,16402650,4335,NA,NA,NA,"54665",NA,52686.01,2
"Lac du Flambeau",2021-08-31,581000001,0.098,22206,1.07,0.19,NA,NA,1,40000,130000,19097,454,NA,66000,140000,25315,2307,"Yes",7.18,17895920,3400,16,NA,NA,"54538",NA,21987.28,2
"Lake Geneva",2021-08-31,581001001,1.075859,551158,3.47,2.5,NA,3.17,1,40000,130000,629876,85559,NA,66000,140000,472439,50972,"No",7.61,30394933,8000,12,NA,NA,"53147",NA,545507.1,2
"Sheboygan",2021-08-31,581002001,11.811,234770,1.814,18.4,NA,NA,1,40000,130000,233769,17411,NA,66000,140000,235771,8006,"No",7.6,8183094,75000,20.56,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53081",NA,234767.9,2
"Ashland",2021-08-31,581009001,0.672,255116,3.051,1.92,838,NA,1,40000,130000,264038,23125,NA,66000,140000,246193,24006,"No",7.3,4649635,8000,18,NA,NA,"54806",NA,254959.4,2
"Appleton",2021-08-31,581011001,21.9,3360,0.2,15.5,NA,NA,1,40000,130000,6721,774,NA,66000,140000,NA,-1,"Yes",7.4,5337563,74832,19.9,NA,NA,"54914",NA,6721,1
"Merrill",2021-08-31,581012001,1.265,652298,3.412,3.06,NA,NA,1,40000,130000,770755,64101,NA,66000,140000,533842,19065,"No",7.74,4134315,10000,NA,NA,NA,"54452",NA,641452.6,2
"Whitewater",2021-08-31,581013001,1.227,131680,0.449,3.65,1540,NA,1,40000,130000,146487,29984,NA,66000,140000,116874,16827,"No",7.63,23156620,14000,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53190",NA,130845.4,2
"River Falls",2021-08-31,581015001,1.367,218166,3.559,1.8,NA,3.25,1,40000,130000,246844,28803,NA,66000,140000,189487,14296,"No",7.59,6165056,16000,6.6,NA,NA,"54022",NA,216272.3,2
"Mauston",2021-08-31,581017001,0.417,152329,5.254,1.1,NA,NA,1,40000,130000,152590,23844,NA,66000,140000,152069,9555,"No",7.75,1399976,4500,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53948",NA,152329.3,2
"Mondovi",2021-08-31,581019001,0.19,128260,5.04,0.3,NA,NA,1,40000,130000,144548,5226,NA,66000,140000,111973,10050,"No",7,9596889,2800,NA,NA,NA,"54755",NA,127222.1,2
"Manitowoc",2021-08-31,581021001,13.15,105340,8.86,15.5,NA,NA,1,40000,130000,84465,23195,NA,66000,140000,126215,21486,"No",7.4,2576659,34450,20.6,NA,NA,"54220",NA,103250.9,2
"Marinette",2021-08-31,581024001,2.27,558143,8.923,7.8,NA,NA,0.625,64000,2e+05,633563,150692,NA,1e+05,220000,482723,73447,"No",7,4127106,10608,NA,NA,NA,"54143",NA,553023.9,2
"Oconomowoc",2021-08-31,581026001,2.826,166468,1.448,4.02,NA,1.49,1,40000,130000,154599,25746,NA,66000,140000,178337,29430,"No",7.7,17748042,34135,13.4,NA,NA,"53066",NA,166044.3,2
"Hudson",2021-08-31,581027001,1.559,47487,0.32,2.2,NA,5.95,1,40000,130000,53422,12004,NA,66000,140000,41553,20431,"Yes",7.7,9930161,19680,12,NA,NA,"54016",NA,47115.22,2
"Kenosha",2021-08-31,581033001,16.09,408824,9.35,28,1326,NA,1,40000,130000,345026,45378,NA,66000,140000,472622,30651,"No",7.3,17052989,122000,NA,NA,NA,"53143",NA,403815.4,2
"Eau Claire",2021-08-31,581042001,7.97,322243,3.49,12,1287,4.94,0.75,53000,170000,291480,33773,NA,87000,180000,353006,42066,"No",7.49,22899456,75000,21.7,NA,NA,"54703",NA,320771.2,2
"Menomonie",2021-08-31,581043001,1.548,397968,2.41,2.88,1541,2.06,0.625,64000,2e+05,373938,53609,NA,1e+05,220000,421997,46429,"No",8.9,11713477,16000,8,NA,"25ML FILTERED 25ML FILTERED","54751",NA,397241.4,2
"Rhinelander",2021-08-31,581044001,0.89,254201,4.697,2.21,NA,NA,0.625,64000,2e+05,285017,49980,NA,1e+05,220000,223385,49585,"No",7.29,5322961,7800,4,NA,NA,"54501",NA,252326.2,2
"New Richmond",2021-08-31,581045001,0.14544,444446,3.239,0.98,NA,NA,0.625,64000,2e+05,509638,62592,NA,1e+05,220000,379254,3257,"No",7.6,7248739,9167,NA,NA,NA,"54017",NA,439638.8,2
"Hayward",2021-08-31,581046001,0.287072,112544,2.079,0.772,NA,NA,0.625,64000,2e+05,126288,21610,NA,1e+05,220000,98800,23720,"Yes",7,9739753,2375,NA,NA,NA,"54843",NA,111701.6,2
"La Crosse",2021-08-31,581047001,10.43,200669,2.54,20,NA,NA,1,40000,130000,171460,16918,NA,66000,140000,229878,13634,"No",7.44,18144106,85000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54601",NA,198531.8,2
"Baraboo",2021-08-31,581049001,1.47,324307,2.75,2.53,NA,NA,1,40000,130000,316504,33028,NA,66000,140000,332110,25564,"No",7,22173390,14000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53913",NA,324213.1,2
"Portage",2021-08-31,581050001,1.703,123133,4.197,2.102,NA,3.05,0.625,64000,2e+05,123710,18163,NA,1e+05,220000,122556,5553,"No",7.8,27766271,10693,18.33,NA,NA,"53901",NA,123131.6,2
"Lodi",2021-08-31,581051001,0.27,42474,6.09,0.542,NA,NA,1,40000,130000,46048,3012,NA,66000,140000,38899,8669,"Yes",7,17925071,3100,NA,NA,NA,"53555",NA,42322.82,2
"Wausau",2021-08-31,581053001,6.56,99924,4.768,8.2,NA,NA,1,40000,130000,119764,54542,NA,66000,140000,80084,43475,"No",7,15624030,42000,NA,NA,NA,"54401",NA,97934.57,2
"Oshkosh",2021-08-31,581057001,19.112,276717,3.174,20,NA,NA,1,40000,130000,280048,71738,NA,66000,140000,273385,27799,"No",7.95,2830846,67000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54902",NA,276696.4,2
"Monroe",2021-08-31,581058001,1.836,NA,NA,3.7,NA,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7.48,6514930,10800,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53566",NA,NA,0
"Janesville",2021-08-31,581060001,9.691,353223,2.4,16.1,NA,NA,1,40000,130000,313389,16527,NA,66000,140000,393056,28652,"No",7.56,14584208,63500,NA,NA,NA,"53548",NA,350969.3,2
"Plymouth",2021-08-31,581061001,1.75,243011,3.582,1.8,NA,NA,0.625,64000,2e+05,274144,40690,NA,1e+05,220000,211879,31600,"No",7.9,8319478,9000,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53073",NA,241009,2
"Hartford",2021-08-31,581062001,1.77,243018,1.39,3.6,NA,NA,1,40000,130000,240033,48952,NA,66000,140000,246004,46407,"No",7.65,3518346,15200,NA,NA,NA,"53027",NA,243000.2,2
"Berlin WWTP",2021-08-31,581063001,0.816,458975,7.734,1.5,NA,NA,1,40000,130000,379564,38904,NA,66000,140000,538387,39887,"No",7.89,6215600,6000,19.7,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54923",NA,452053.5,2
"Clintonville",2021-08-31,581987001,1.046,199706,0.994,0.679,NA,NA,1,40000,130000,209762,16107,NA,66000,140000,189650,28896,"No",7.9,2642885,4455,NA,NA,NA,"54929",NA,199452.7,2
"Portage",2021-09-01,581234001,1.613,52774,1.544,2.102,NA,3.2,1,40000,130000,60947,15427,NA,66000,140000,44600,10378,"Yes",8.1,26170196,10693,18.89,NA,NA,"53901",NA,52136.71,2
"Whitewater",2021-09-01,581235001,1.182,78186,1.724,3.65,1550,NA,0.625,64000,2e+05,94296,30539,NA,1e+05,220000,62076,4989,"Yes",7.67,32257700,14000,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53190",NA,76508.29,2
"Wolf",2021-09-01,581237001,2.338,131444,4.263,2.63,NA,NA,1,40000,130000,140431,16664,NA,66000,140000,122457,10341,"No",7.5,4003730,18000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54166",NA,131136.4,2
"Keshena",2021-09-01,581238001,0.1121,58081,0.84,0.35,NA,1.58,1,40000,130000,52362,9871,NA,66000,140000,63799,16853,"Yes",6.88,6492849,2500,13.8,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54135",NA,57798.3,2
"Platteville",2021-09-01,581240001,0.944,100306,1.645,3,NA,5.49,1,40000,130000,96326,9873,NA,66000,140000,104286,14556,"No",7.75,6825235,14000,19.12,NA,NA,"53818",NA,100227,2
"Madison",2021-09-01,581289001,36.52,116190,2.097,56,NA,NA,0.625,64000,2e+05,102833,4291,NA,1e+05,220000,129546,3181,"No",7.77,23276443,380000,NA,NA,NA,"53713",NA,115419.3,2
"Sun Prairie",2021-09-02,581245001,3.011,288763,3.355,6.2,NA,NA,0.625,64000,2e+05,323025,40869,NA,1e+05,220000,254501,7005,"No",7.69,15926106,34926,19.1,NA,NA,"53590",NA,286723.2,2
"Madison",2021-09-02,581290001,35.91,135207,1.276,56,NA,NA,0.625,64000,2e+05,106933,5517,NA,1e+05,220000,163480,17835,"No",7.75,22923547,380000,NA,NA,NA,"53713",NA,132217.3,2
"MMSD-P2",2021-09-02,581291001,6.26,174058,4.99,56,NA,NA,0.625,64000,2e+05,164940,21684,NA,1e+05,220000,183175,17667,"No",7.5,42656389,380000,NA,NA,NA,"53713",NA,173818.5,2
"MMSD-P7",2021-09-02,581293001,3.7,133326,1.302,56,NA,NA,0.625,64000,2e+05,135947,26899,NA,1e+05,220000,130704,10765,"No",7,59080424,380000,NA,NA,NA,"53713",NA,133299.7,2
"MMSD-P8",2021-09-02,581294001,6.51,144746,3.183,56,NA,NA,0.625,64000,2e+05,136673,14865,NA,1e+05,220000,152819,27293,"No",7.5,17093163,380000,NA,NA,NA,"53713",NA,144520.7,2
"MMSD-P11",2021-09-02,581295001,8.52,131797,3.474,56,NA,NA,0.625,64000,2e+05,115710,17123,NA,1e+05,220000,147884,12483,"No",7.5,36056419,380000,NA,NA,NA,"53713",NA,130811.5,2
"MMSD-P18",2021-09-02,581296001,10.92,203933,2.44,56,NA,NA,0.625,64000,2e+05,205170,26837,NA,1e+05,220000,202696,26043,"No",7,14888648,380000,NA,NA,NA,"53713",NA,203929.2,2
"Baraboo",2021-09-02,581476001,1.37,156719,1.482,2.53,NA,NA,1,40000,130000,178440,14093,NA,66000,140000,134998,16953,"No",7,11620579,14000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53913",NA,155206.5,2
"Hayward",2021-09-02,581477001,0.269155,97670,4.292,0.772,NA,NA,0.625,64000,2e+05,89629,907,NA,1e+05,220000,105711,795,"No",6.75,12803031,2375,NA,NA,NA,"54843",NA,97338.44,2
"Manitowoc",2021-09-02,581479001,11.58,107419,4.68,15.5,NA,NA,1,40000,130000,101299,13852,NA,66000,140000,113540,8762,"No",7.4,2116236,34450,20.6,NA,NA,"54220",NA,107245,2
"Marshfield",2021-09-02,581480001,3.018,11721,0.025,4.63,NA,5.8,1,40000,130000,18592,10467,NA,66000,140000,4849,861,"Yes",7,11248052,19316,19.9,NA,NA,"54449",NA,9494.873,2
"Monroe",2021-09-02,581481001,1.85,7598,0.052,3.7,NA,NA,0.625,64000,2e+05,11109,8209,NA,1e+05,220000,4087,-1,"Yes",7.4,10052208,10800,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53566",NA,6738.136,2
"Oconomowoc",2021-09-02,581482001,2.792,471098,1.727,4.02,NA,0.56,1,40000,130000,520564,33896,NA,66000,140000,421632,32777,"No",7.8,16006246,34135,12.5,NA,NA,"53066",NA,468493.8,2
"Oshkosh",2021-09-02,581483001,15.326,303517,3.073,20,NA,NA,1,40000,130000,296569,34496,NA,66000,140000,310465,27612,"No",8,10085953,67000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54902",NA,303437.5,2
"Rib Lake",2021-09-02,581484001,0.083,266097,2.853,0.5,NA,3.34,1,40000,130000,228960,48989,NA,66000,140000,303234,9981,"No",7.75,4507527,386,10.5,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54470",NA,263492.8,2
"Viroqua",2021-09-02,581486001,0.3,312716,0.819,0.535,NA,NA,1,40000,130000,341283,67338,NA,66000,140000,284149,76754,"No",7.7,17257002,4335,NA,NA,NA,"54665",NA,311408.5,2
"Madison",2021-09-03,581614001,35.35,393177,2.781,56,NA,NA,0.625,64000,2e+05,408655,61470,NA,1e+05,220000,377699,22420,"No",7.68,26216711,380000,NA,NA,NA,"53713",NA,392872.2,2
"Appleton",2021-09-03,581983001,13.5,NA,0.119,15.5,NA,NA,1,40000,130000,NA,-1,NA,66000,140000,NA,-1,"Yes",7.4,8467067,74832,20.4,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54914",NA,NA,0
"Hudson",2021-09-03,581994001,2.24496,78032,0.156,2.2,NA,6.59,1,40000,130000,97962,5468,NA,66000,140000,58101,6482,"Yes",7.7,6394770,19680,12,NA,NA,"54016",NA,75443.29,2
"Clintonville",2021-09-03,582014001,0.782,450002,1.276,0.679,NA,NA,1,40000,130000,494172,127495,NA,66000,140000,405832,38864,"No",7.8,3588804,4455,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54929",NA,447829,2
"Eau Claire",2021-09-03,582337001,8.43,452335,1.965,12,1170,4.93,1,40000,130000,546403,100990,NA,66000,140000,358268,14922,"No",7.55,17504151,75000,21.7,NA,NA,"54703",NA,442446.3,2
"Kenosha",2021-09-03,582342001,17.31,316978,4,28,1226,NA,1,40000,130000,315995,35900,NA,66000,140000,317960,10045,"No",7.5,9387404,122000,NA,NA,NA,"53143",NA,316976,2
"Sheboygan",2021-09-04,581984001,9.96,321615,7.641,18.4,NA,NA,1,40000,130000,344423,22753,NA,66000,140000,298807,8639,"No",7.5,25671717,75000,21.11,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53081",NA,320805.2,2
"Janesville",2021-09-04,582007001,9.13,193756,1.141,16.1,NA,NA,1,40000,130000,269069,26004,NA,66000,140000,118443,24654,"No",7.69,9424137,63500,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53548",NA,178519.9,2
"Madison",2021-09-05,581616001,33.48,223123,3.867,56,NA,NA,0.625,64000,2e+05,232159,57135,NA,1e+05,220000,214087,15335,"No",7.6,23855972,380000,NA,NA,NA,"53713",NA,222940,2
"Madison",2021-09-06,581607001,33.51,173479,3.286,56,NA,NA,0.625,64000,2e+05,196050,21922,NA,1e+05,220000,150908,28664,"No",7.67,74588098,380000,NA,NA,NA,"53713",NA,172004.4,2
"MMSD-P2",2021-09-06,581608001,5.77,209952,2.623,56,NA,NA,0.625,64000,2e+05,213037,9221,NA,1e+05,220000,206867,10788,"No",7.25,20408987,380000,NA,NA,NA,"53713",NA,209929.3,2
"MMSD-P7",2021-09-06,581609001,4.54,147177,6.844,56,NA,NA,0.625,64000,2e+05,163442,6982,NA,1e+05,220000,130911,8503,"No",7.25,13795342,380000,NA,NA,NA,"53713",NA,146274.9,2
"MMSD-P8",2021-09-06,581610001,5.58,291794,6.504,56,NA,NA,0.625,64000,2e+05,313893,20707,NA,1e+05,220000,269695,25104,"No",7,111514741,380000,NA,NA,NA,"53713",NA,290956,2
"MMSD-P11",2021-09-06,581611001,7.96,233607,7.311,56,NA,NA,0.625,64000,2e+05,265565,57171,NA,1e+05,220000,201648,33031,"No",7,34550490,380000,NA,NA,NA,"53713",NA,231410.1,2
"MMSD-P18",2021-09-06,581612001,9.66,212139,3.936,56,NA,NA,0.625,64000,2e+05,211195,20186,NA,1e+05,220000,213084,18684,"No",7.25,10654072,380000,NA,NA,NA,"53713",NA,212137.4,2
"SpencerWWTF",2021-09-06,581949001,0.2697,280735,5.718,0.52,NA,NA,1,40000,130000,283273,30779,NA,66000,140000,278197,22529,"No",7.81,2019676,2000,NA,NA,NA,"54479",NA,280723.5,2
"Ashland",2021-09-06,581997001,0.548,183363,0.923,1.92,849,NA,1,40000,130000,186054,38846,NA,66000,140000,180671,40903,"No",7.27,4217748,8000,18,NA,NA,"54806",NA,183342.7,2
"Platteville",2021-09-06,583846001,0.813,447200,1.298,3,NA,5.18,1,40000,130000,648463,80100,NA,66000,140000,245937,36023,"No",7.65,7069889,14000,18.32,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53818",NA,399350.8,2
"Sun Prairie",2021-09-07,581606001,3.04,356873,3.735,6.2,NA,NA,0.625,64000,2e+05,360057,12823,NA,1e+05,220000,353688,46332,"No",7.76,26204790,34926,20.8,NA,NA,"53590",NA,356858.3,2
"Madison",2021-09-07,581613001,34.56,96384,4.512,56,NA,NA,0.625,64000,2e+05,105584,20373,NA,1e+05,220000,87184,16711,"Yes",7.75,11133044,380000,NA,NA,NA,"53713",NA,95943.92,2
"Oshkosh",2021-09-07,581753001,12.746,216607,9.01,20,NA,NA,0.625,64000,2e+05,226032,14293,NA,1e+05,220000,207182,26957,"No",7.89,8650806,67000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54902",NA,216401.9,2
"Hartford",2021-09-07,581754001,1.55,320651,1.63,3.6,NA,NA,1,40000,130000,294131,52269,NA,66000,140000,347170,21566,"No",7.69,9726085,15200,NA,NA,NA,"53027",NA,319552,2
"Lodi",2021-09-07,581755001,0.254,38807,6.2,0.542,NA,NA,1,40000,130000,36120,2255,NA,66000,140000,41495,4633,"Yes",7,8803545,3100,NA,NA,NA,"53555",NA,38714.33,2
"Mauston",2021-09-07,581756001,0.369,88923,4.35,1.1,NA,NA,1,40000,130000,83929,12875,NA,66000,140000,93917,9219,"No",7.6,2546010,4500,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53948",NA,88782.66,2
"Marinette",2021-09-07,581758001,1.84,905252,5.97,7.8,NA,NA,1,40000,130000,902993,10426,NA,66000,140000,907512,45716,"No",NA,12546588,10608,NA,NA,NA,"54143",NA,905249.7,2
"Oconomowoc",2021-09-07,581760001,2.723,284238,2.04,4.02,NA,0.71,1,40000,130000,325213,35411,NA,66000,140000,243264,52339,"No",7.8,12431367,34135,13.7,NA,NA,"53066",NA,281269.6,2
"Berlin WWTP",2021-09-07,581761001,0.611,243748,1.471,1.5,NA,NA,0.625,64000,2e+05,215382,53248,NA,1e+05,220000,272113,24499,"No",7.43,59905855,6000,20.2,NA,NA,"54923",NA,242091.4,2
"Columbus",2021-09-07,581762001,0.668,55868,0.155,1.165,NA,3,1,40000,130000,64618,15919,NA,66000,140000,47117,7617,"Yes",7.6,20106632,7000,19.5,NA,NA,"53925",NA,55177.95,2
"Whitewater",2021-09-07,581766001,1.053,126250,3.08,3.65,1410,3.37,0.75,53000,170000,131224,28786,NA,87000,180000,121277,13394,"No",7.78,24721427,14000,9.3,NA,"Re-reproting sample with corrected total flow. Re-reproting sample with corrected total flow.","53190",NA,126152.5,2
"Lake Geneva",2021-09-07,581770001,1.06112,568541,0.85,2.5,NA,2.08,1,40000,130000,550691,31192,NA,66000,140000,586390,42956,"No",7.62,37450967,8000,9.7,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53147",NA,568260.2,2
"Plymouth",2021-09-07,581775001,1.47,158552,1.3,1.8,NA,NA,1,40000,130000,172057,23269,NA,66000,140000,145047,35739,"No",7.9,8410797,9000,NA,NA,NA,"53073",NA,157975.8,2
"Janesville",2021-09-07,581777001,8.84,201874,3.33,16.1,NA,NA,1,40000,130000,208477,922,NA,66000,140000,195271,8896,"No",7.7,5938398,63500,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53548",NA,201766,2
"WI Rapids",2021-09-07,581778001,4.264,123720,4.92,5.27,NA,NA,0.875,46000,150000,132580,16416,NA,75000,160000,114859,27029,"No",6.7,3252173,20000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54494",NA,123401.8,2
"Monroe",2021-09-07,581781001,1.548,105972,0.05,3.7,NA,NA,0.625,64000,2e+05,134770,26321,NA,1e+05,220000,77175,175,"Yes",7.32,12765610,10800,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53566",NA,101984.7,2
"Merrill",2021-09-07,581944001,1.08,302193,5.503,3.06,NA,NA,1,40000,130000,273276,35513,NA,66000,140000,331110,17591,"No",7.53,5662195,10000,NA,NA,NA,"54452",NA,300806.3,2
"Viroqua",2021-09-07,581946001,0.279,229619,1.35,0.535,NA,NA,0.625,64000,2e+05,244211,35423,NA,1e+05,220000,215027,19513,"No",7.86,42613161,4335,NA,NA,NA,"54665",NA,229154.9,2
"Hayward",2021-09-07,581948001,0.254522,166976,3.067,0.772,NA,NA,0.625,64000,2e+05,192341,55357,NA,1e+05,220000,141610,1443,"No",NA,13769871,2375,NA,NA,NA,"54843",NA,165037.6,2
"Menomonie",2021-09-07,581951001,1.455,275042,9.916,2.88,1341,1.27,0.625,64000,2e+05,247601,37302,NA,1e+05,220000,302482,41097,"No",8.5,19565905,16000,20,NA,NA,"54751",NA,273669.2,2
"BlackRiverFallsWWTP",2021-09-07,581956001,0.601,97541,1.147,1.5,NA,NA,1,40000,130000,104570,25690,NA,66000,140000,90512,785,"No",7,7503870,5200,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54615",NA,97287.41,2
"River Falls",2021-09-07,581957001,1.375,305427,8.985,1.8,NA,6.15,1,40000,130000,304253,35835,NA,66000,140000,306601,26263,"No",7.65,3804362,16000,7.3,NA,NA,"54022",NA,305424.7,2
"Lac du Flambeau",2021-09-07,581958001,0.109,276194,0.369,0.19,NA,NA,0.625,64000,2e+05,303655,27449,NA,1e+05,220000,248733,45431,"No",7.2,19296372,3400,16,NA,"REP 1 = 25ML. REP 2,3,4 = 40ML REP 1 = 25ML. REP 2,3,4 = 40ML","54538",NA,274825.4,2
"Mondovi",2021-09-07,581959001,0.161,1185485,7.173,0.3,NA,NA,0.75,53000,170000,1133032,21247,NA,87000,180000,1237939,113458,"No",6.73,19309074,2800,NA,NA,NA,"54755",NA,1184324,2
"Portage",2021-09-07,581960001,1.405,286427,6.807,2.102,NA,NA,1,40000,130000,284942,17125,NA,66000,140000,287911,24670,"No",7.7,18579094,10693,18.333,NA,NA,"53901",NA,286422.7,2
"Wolf",2021-09-07,581967001,2.236,174573,5.57,2.63,NA,NA,1,40000,130000,176427,28292,NA,66000,140000,172718,14728,"No",7.44,6764914,18000,NA,NA,NA,"54166",NA,174562.6,2
"La Crosse",2021-09-07,581969001,7.99,66062,0.04,20,NA,NA,1,40000,130000,64503,25163,NA,66000,140000,67621,130,"No",7.38,12964431,85000,NA,NA,NA,"54601",NA,66043.6,2
"Wausau",2021-09-07,581985001,4.64,321962,7.504,8.2,NA,NA,1,40000,130000,346866,50612,NA,66000,140000,297058,50383,"No",NA,10365138,42000,NA,NA,NA,"54401",NA,320997.4,2
"Hudson",2021-09-07,581995001,1.458,73601,0.176,2.2,NA,6.47,1,40000,130000,66536,10490,NA,66000,140000,80665,8975,"No",7.8,3729139,19680,9,NA,NA,"54016",NA,73260.67,2
"Ashland",2021-09-07,581996001,0.666,172057,2.214,1.92,852,NA,1,40000,130000,194482,11919,NA,66000,140000,149632,24836,"No",7.16,6604251,8000,17,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54806",NA,170589.4,2
